entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
1,NEARUSDT,SELL,17,2025-10-16 17:45:00,18,2025-10-16 18:00:00,2.258,2025-10-19 11:30:00,2.229,262,8.99,0.266,1.284,win,False,,
2,NEARUSDT,BUY,279,2025-10-19 11:15:00,280,2025-10-19 11:30:00,2.229,2025-10-21 04:15:00,2.197,163,4.845,1.795,-1.436,win,False,,
3,NEARUSDT,SELL,442,2025-10-21 04:00:00,443,2025-10-21 04:15:00,2.197,2025-10-21 15:15:00,2.337,44,1.593,6.782,-6.372,lose,False,4.347,SSL
4,NEARUSDT,BUY,486,2025-10-21 15:00:00,487,2025-10-21 15:15:00,2.337,2025-10-22 06:15:00,2.204,60,1.113,6.333,-5.691,lose,False,,
5,NEARUSDT,SELL,546,2025-10-22 06:00:00,547,2025-10-22 06:15:00,2.204,2025-10-24 05:15:00,2.247,188,5.036,2.269,-1.951,win,False,2.155,SSL
6,NEARUSDT,BUY,734,2025-10-24 05:00:00,735,2025-10-24 05:15:00,2.247,2025-10-28 19:00:00,2.303,439,7.61,2.136,2.492,win,False,5.229,BSL
7,NEARUSDT,SELL,1173,2025-10-28 18:45:00,1174,2025-10-28 19:00:00,2.303,2025-10-29 14:15:00,2.311,77,4.559,0.825,-0.347,win,False,4.538,SSL
8,NEARUSDT,BUY,1250,2025-10-29 14:00:00,1251,2025-10-29 14:15:00,2.311,2025-10-30 10:15:00,2.206,80,1.558,5.193,-4.543,lose,False,,
9,NEARUSDT,SELL,1330,2025-10-30 10:00:00,1331,2025-10-30 10:15:00,2.206,2025-11-01 13:00:00,2.175,203,8.069,0.635,1.405,win,False,,
11,NEARUSDT,SELL,1688,2025-11-03 03:30:00,1689,2025-11-03 03:45:00,2.058,2025-11-05 18:30:00,1.938,251,16.472,0.534,5.831,win,False,,
13,NEARUSDT,SELL,2449,2025-11-11 01:45:00,2450,2025-11-11 02:00:00,2.746,2025-11-15 04:45:00,2.547,395,16.096,3.205,7.247,win,False,,
14,NEARUSDT,BUY,2844,2025-11-15 04:30:00,2845,2025-11-15 04:45:00,2.547,2025-11-16 00:15:00,2.39,78,2.945,6.203,-6.164,win,False,2.591,BSL
15,NEARUSDT,SELL,2922,2025-11-16 00:00:00,2923,2025-11-16 00:15:00,2.39,2025-11-20 00:15:00,2.368,384,10.167,7.155,0.921,win,False,,
16,NEARUSDT,BUY,3306,2025-11-20 00:00:00,3307,2025-11-20 00:15:00,2.368,2025-11-20 17:00:00,2.15,67,1.858,9.797,-9.206,lose,False,19.383,BSL
17,NEARUSDT,SELL,3373,2025-11-20 16:45:00,3374,2025-11-20 17:00:00,2.15,2025-11-24 17:00:00,1.938,384,16.465,0.884,9.86,win,False,,
18,NEARUSDT,BUY,3757,2025-11-24 16:45:00,3758,2025-11-24 17:00:00,1.938,2025-11-25 09:30:00,1.84,66,2.477,5.108,-5.057,win,False,45.872,BSL
21,NEARUSDT,SELL,4083,2025-11-28 02:15:00,4084,2025-11-28 02:30:00,1.867,2025-12-02 10:45:00,1.697,417,15.212,4.713,9.106,win,False,2.678,SSL
22,NEARUSDT,BUY,4500,2025-12-02 10:30:00,4501,2025-12-02 10:45:00,1.697,2025-12-04 19:45:00,1.785,228,11.844,0.059,5.186,win,False,9.586,BSL
23,NEARUSDT,SELL,4728,2025-12-04 19:30:00,4729,2025-12-04 19:45:00,1.785,2025-12-07 21:00:00,1.767,293,8.291,1.793,1.008,win,False,11.597,SSL
24,NEARUSDT,BUY,5021,2025-12-07 20:45:00,5022,2025-12-07 21:00:00,1.767,2025-12-09 09:45:00,1.711,147,1.981,4.754,-3.169,lose,False,2.405,BSL
25,NEARUSDT,SELL,5168,2025-12-09 09:30:00,5169,2025-12-09 09:45:00,1.711,2025-12-09 16:00:00,1.834,25,0.058,7.656,-7.189,lose,False,7.773,SSL
26,NEARUSDT,BUY,5193,2025-12-09 15:45:00,5194,2025-12-09 16:00:00,1.834,2025-12-10 09:30:00,1.756,70,2.781,4.526,-4.253,win,False,3.359,BSL
27,NEARUSDT,SELL,5263,2025-12-10 09:15:00,5264,2025-12-10 09:30:00,1.756,2025-12-13 11:00:00,1.676,294,9.909,6.15,4.556,win,False,10.137,SSL
28,NEARUSDT,BUY,5557,2025-12-13 10:45:00,5558,2025-12-13 11:00:00,1.676,2025-12-14 07:30:00,1.63,82,0.477,3.043,-2.745,lose,False,3.043,BSL
29,NEARUSDT,SELL,5639,2025-12-14 07:15:00,5640,2025-12-14 07:30:00,1.63,2025-12-16 21:30:00,1.59,248,8.773,0.982,2.454,win,False,3.19,SSL
31,NEARUSDT,SELL,5972,2025-12-17 18:30:00,5973,2025-12-17 18:45:00,1.485,2025-12-18 16:00:00,1.567,85,2.29,7.003,-5.522,win,False,,
32,NEARUSDT,BUY,6057,2025-12-18 15:45:00,6058,2025-12-18 16:00:00,1.567,2025-12-18 21:45:00,1.425,23,2.106,9.317,-9.062,win,False,2.84,BSL
33,NEARUSDT,SELL,6080,2025-12-18 21:30:00,6081,2025-12-18 21:45:00,1.425,2025-12-19 16:45:00,1.542,76,1.474,8.491,-8.211,lose,False,,
34,NEARUSDT,BUY,6156,2025-12-19 16:30:00,6157,2025-12-19 16:45:00,1.542,2025-12-21 13:45:00,1.468,180,1.167,4.929,-4.799,lose,False,4.507,BSL
35,NEARUSDT,SELL,6336,2025-12-21 13:30:00,6337,2025-12-21 13:45:00,1.468,2025-12-22 06:45:00,1.532,68,1.022,5.109,-4.36,lose,False,4.223,SSL
